


  RMIN =  .750  MAXV   = 10  BE =   12.6450
  RMAX = 3.500  KDMAXV = 10  RE =    1.1977
  DELR =  .005  NEIG   =  0  DE =20000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.250 TO   2.545 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.7450           28099.170         2.7500           28115.740         2.7550           28132.110
         2.7600           28148.250         2.7650           28164.190         2.7700           28179.930
1
         2.7750           28195.450         2.7800           28210.780         2.7850           28225.900
         2.7900           28240.830         2.7950           28255.570         2.8000           28270.110
         2.8050           28284.460         2.8100           28298.630         2.8150           28312.610
         2.8200           28326.410         2.8250           28340.030         2.8300           28353.470
         2.8350           28366.740         2.8400           28379.830         2.8450           28392.750
         2.8500           28405.500         2.8550           28418.090         2.8600           28430.510
         2.8650           28442.770         2.8700           28454.870         2.8750           28466.810
         2.8800           28478.600         2.8850           28490.230         2.8900           28501.710
         2.8950           28513.040         2.9000           28524.220         2.9050           28535.260
         2.9100           28546.140         2.9150           28556.890         2.9200           28567.500
         2.9250           28577.970         2.9300           28588.300         2.9350           28598.490
         2.9400           28608.550         2.9450           28618.480         2.9500           28628.280
         2.9550           28637.950         2.9600           28647.500         2.9650           28656.920
         2.9700           28666.210         2.9750           28675.390         2.9800           28684.440
         2.9850           28693.370         2.9900           28702.190         2.9950           28710.890
         3.0000           28719.480         3.0050           28727.950         3.0100           28736.310
         3.0150           28744.570         3.0200           28752.710         3.0250           28760.750
         3.0300           28768.680         3.0350           28776.510         3.0400           28784.230
         3.0450           28791.860         3.0500           28799.380         3.0550           28806.800
         3.0600           28814.130         3.0650           28821.360         3.0700           28828.490
         3.0750           28835.530         3.0800           28842.480         3.0850           28849.340
         3.0900           28856.110         3.0950           28862.780         3.1000           28869.370
         3.1050           28875.880         3.1100           28882.290         3.1150           28888.620
         3.1200           28894.870         3.1250           28901.040         3.1300           28907.130
         3.1350           28913.130         3.1400           28919.060         3.1450           28924.900
         3.1500           28930.670         3.1550           28936.370         3.1600           28941.990
         3.1650           28947.540         3.1700           28953.010         3.1750           28958.410
         3.1800           28963.740         3.1850           28969.000         3.1900           28974.190
         3.1950           28979.310         3.2000           28984.360         3.2050           28989.350
         3.2100           28994.270         3.2150           28999.120         3.2200           29003.910
         3.2250           29008.640         3.2300           29013.310         3.2350           29017.910
         3.2400           29022.460         3.2450           29026.940         3.2500           29031.370
         3.2550           29035.730         3.2600           29040.040         3.2650           29044.290
         3.2700           29048.490         3.2750           29052.630         3.2800           29056.710
         3.2850           29060.740         3.2900           29064.720         3.2950           29068.650
         3.3000           29072.520         3.3050           29076.340         3.3100           29080.120
         3.3150           29083.840         3.3200           29087.510         3.3250           29091.130
         3.3300           29094.710         3.3350           29098.240         3.3400           29101.720
         3.3450           29105.160         3.3500           29108.550         3.3550           29111.900
