


  RMIN =  .750  MAXV   = 10  BE =   14.9340
  RMAX = 3.500  KDMAXV = 10  RE =    1.1021
  DELR =  .005  NEIG   =  0  DE =25000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .780 TO   2.375 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.3650            4290.489         1.3700            4428.792         1.3750            4567.980
         1.3800            4708.008         1.3850            4848.830         1.3900            4990.402
         1.3950            5132.680         1.4000            5275.613         1.4050            5419.159
         1.4100            5563.293         1.4150            5707.977         1.4200            5853.168
1
         1.4250            5998.822         1.4300            6144.890         1.4350            6291.354
         1.4400            6438.184         1.4450            6585.309         1.4500            6732.736
         1.4550            6880.438         1.4600            7028.382         1.4650            7176.513
         1.4700            7324.770         1.4750            7473.200         1.4800            7621.757
         1.4850            7770.390         1.4900            7919.063         1.4950            8067.767
         1.5000            8216.508         1.5050            8365.244         1.5100            8513.881
         1.5150            8662.448         1.5200            8810.956         1.5250            8959.381
         1.5300            9107.674         1.5350            9255.774         1.5400            9403.758
         1.5450            9551.535         1.5500            9699.087         1.5550            9846.399
         1.5600            9993.470         1.5650           10140.300         1.5700           10286.840
         1.5750           10433.060         1.5800           10578.980         1.5850           10724.580
         1.5900           10869.860         1.5950           11014.790         1.6000           11159.310
         1.6050           11303.460         1.6100           11447.220         1.6150           11590.560
         1.6200           11733.480         1.6250           11875.960         1.6300           12018.010
         1.6350           12159.600         1.6400           12300.720         1.6450           12441.380
         1.6500           12581.540         1.6550           12721.190         1.6600           12860.320
         1.6650           12998.960         1.6700           13137.100         1.6750           13274.680
         1.6800           13411.700         1.6850           13548.170         1.6900           13684.110
         1.6950           13819.510         1.7000           13954.290         1.7050           14088.500
         1.7100           14222.140         1.7150           14355.210         1.7200           14487.690
         1.7250           14619.540         1.7300           14750.820         1.7350           14881.460
         1.7400           15011.440         1.7450           15140.820         1.7500           15269.610
         1.7550           15397.790         1.7600           15525.310         1.7650           15652.180
         1.7700           15778.410         1.7750           15904.000         1.7800           16028.940
         1.7850           16153.230         1.7900           16276.880         1.7950           16399.850
         1.8000           16522.160         1.8050           16643.830         1.8100           16764.860
         1.8150           16885.230         1.8200           17004.910         1.8250           17123.850
         1.8300           17242.200         1.8350           17359.900         1.8400           17476.920
         1.8450           17593.250         1.8500           17708.900         1.8550           17823.870
         1.8600           17938.110         1.8650           18051.720         1.8700           18164.730
         1.8750           18277.040         1.8800           18388.620         1.8850           18499.480
         1.8900           18609.720         1.8950           18719.290         1.9000           18828.180
         1.9050           18936.400         1.9100           19043.940         1.9150           19150.790
         1.9200           19256.950         1.9250           19362.470         1.9300           19467.390
         1.9350           19571.500         1.9400           19674.940         1.9450           19777.780
         1.9500           19880.020         1.9550           19981.570         1.9600           20082.280
         1.9650           20182.420         1.9700           20281.990         1.9750           20380.870
         1.9800           20479.030         1.9850           20576.490         1.9900           20673.300
         1.9950           20769.530         2.0000           20865.130         2.0050           20959.980
         2.0100           21054.190         2.0150           21147.810         2.0200           21240.850
         2.0250           21333.240         2.0300           21424.850         2.0350           21515.810
         2.0400           21606.240         2.0450           21695.990         2.0500           21785.080
         2.0550           21873.540         2.0600           21961.380         2.0650           22048.650
         2.0700           22135.320         2.0750           22221.290         2.0800           22306.670
         2.0850           22391.440         2.0900           22475.590         2.0950           22559.120
1
         2.1000           22642.010         2.1050           22724.290         2.1100           22806.010
         2.1150           22887.210         2.1200           22967.810         2.1250           23047.690
         2.1300           23126.430         2.1350           23204.360         2.1400           23281.380
         2.1450           23357.510         2.1500           23432.750         2.1550           23507.110
         2.1600           23580.590         2.1650           23653.210         2.1700           23724.980
         2.1750           23795.900         2.1800           23865.980         2.1850           23935.230
         2.1900           24003.660         2.1950           24071.280         2.2000           24138.090
         2.2050           24204.110         2.2100           24269.340         2.2150           24333.790
         2.2200           24397.460         2.2250           24460.370         2.2300           24522.530
         2.2350           24583.930         2.2400           24644.600         2.2450           24704.540
         2.2500           24763.740         2.2550           24822.240         2.2600           24880.020
         2.2650           24937.100         2.2700           24993.490         2.2750           25049.190
         2.2800           25104.220         2.2850           25158.570         2.2900           25212.250
         2.2950           25265.280         2.3000           25317.660         2.3050           25369.400
         2.3100           25420.500         2.3150           25470.980         2.3200           25520.830
         2.3250           25570.070         2.3300           25618.700         2.3350           25666.730
         2.3400           25714.170         2.3450           25761.020         2.3500           25807.290
         2.3550           25852.980         2.3600           25898.110         2.3650           25942.680
         2.3700           25986.690         2.3750           26030.160         2.3800           26073.080
         2.3850           26115.470         2.3900           26157.330         2.3950           26198.660
         2.4000           26239.480         2.4050           26279.790         2.4100           26319.590
         2.4150           26358.890         2.4200           26397.710         2.4250           26436.030
         2.4300           26473.870         2.4350           26511.230         2.4400           26548.130
         2.4450           26584.560         2.4500           26620.530         2.4550           26656.050
         2.4600           26691.120         2.4650           26725.740         2.4700           26759.930
         2.4750           26793.680         2.4800           26827.010         2.4850           26859.910
         2.4900           26892.400         2.4950           26924.480         2.5000           26956.150
