


  RMIN =  .750  MAXV   = 12  BE =   17.3580
  RMAX = 3.500  KDMAXV = 12  RE =    1.0123
  DELR =  .005  NEIG   =  0  DE =35000.0000
  ZMU  =  .948


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .880 TO   2.120 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.4900           18945.310         1.4950           19145.010         1.5000           19343.670
         1.5050           19541.120         1.5100           19737.460         1.5150           19932.760
         1.5200           20126.950         1.5250           20319.880         1.5300           20511.680
         1.5350           20702.390         1.5400           20891.920         1.5450           21080.240
         1.5500           21267.400         1.5550           21453.530         1.5600           21638.390
         1.5650           21822.020         1.5700           22004.490         1.5750           22185.790
         1.5800           22365.910         1.5850           22544.820         1.5900           22722.570
         1.5950           22899.100         1.6000           23074.390         1.6050           23248.480
         1.6100           23421.550         1.6150           23593.350         1.6200           23763.470
         1.6250           23932.110         1.6300           24099.370         1.6350           24265.240
         1.6400           24429.740         1.6450           24592.940         1.6500           24754.780
         1.6550           24915.310         1.6600           25074.550         1.6650           25232.530
         1.6700           25389.280         1.6750           25544.680         1.6800           25698.710
         1.6850           25851.510         1.6900           26003.130         1.6950           26153.510
         1.7000           26302.480         1.7050           26450.290         1.7100           26597.030
         1.7150           26742.440         1.7200           26886.490         1.7250           27029.290
         1.7300           27171.160         1.7350           27311.620         1.7400           27450.840
         1.7450           27588.900         1.7500           27725.810         1.7550           27861.550
         1.7600           27996.050         1.7650           28129.530         1.7700           28261.370
         1.7750           28391.460         1.7800           28520.030         1.7850           28647.240
         1.7900           28773.170         1.7950           28897.870         1.8000           29021.060
         1.8050           29143.120         1.8100           29263.920         1.8150           29383.420
         1.8200           29501.630         1.8250           29618.660         1.8300           29734.680
         1.8350           29849.460         1.8400           29962.950         1.8450           30075.300
         1.8500           30186.590         1.8550           30296.800         1.8600           30405.840
         1.8650           30513.550         1.8700           30620.250         1.8750           30726.030
         1.8800           30830.720         1.8850           30934.240         1.8900           31036.600
         1.8950           31137.930         1.9000           31238.420         1.9050           31337.760
         1.9100           31436.030         1.9150           31533.320         1.9200           31629.630
         1.9250           31724.960         1.9300           31819.290         1.9350           31912.600
         1.9400           32003.770         1.9450           32091.730         1.9500           32179.720
         1.9550           32267.280         1.9600           32354.060         1.9650           32439.890
         1.9700           32524.710         1.9750           32608.640         1.9800           32691.780
         1.9850           32773.890         1.9900           32855.160         1.9950           32935.550
1
         2.0000           33015.050         2.0050           33093.630         2.0100           33171.310
         2.0150           33248.110         2.0200           33324.060         2.0250           33399.220
         2.0300           33473.570         2.0350           33547.090         2.0400           33619.700
         2.0450           33691.400         2.0500           33762.230         2.0550           33832.170
         2.0600           33901.240         2.0650           33969.450         2.0700           34036.820
         2.0750           34103.340         2.0800           34169.030         2.0850           34233.900
         2.0900           34297.960         2.0950           34361.210         2.1000           34423.680
         2.1050           34485.360         2.1100           34546.260         2.1150           34606.400
         2.1200           34665.780         2.1250           34724.410         2.1300           34782.300
         2.1350           34839.460         2.1400           34895.910         2.1450           34951.630
         2.1500           35006.650         2.1550           35060.970         2.1600           35114.600
         2.1650           35167.550         2.1700           35219.840         2.1750           35271.450
         2.1800           35322.410         2.1850           35372.710         2.1900           35422.380
         2.1950           35471.410         2.2000           35519.820         2.2050           35567.610
         2.2100           35614.790         2.2150           35661.360         2.2200           35707.340
         2.2250           35752.730         2.2300           35797.540         2.2350           35841.770
         2.2400           35885.440         2.2450           35928.540         2.2500           35971.090
         2.2550           36013.090         2.2600           36054.550         2.2650           36095.480
         2.2700           36135.880         2.2750           36175.760         2.2800           36215.120
         2.2850           36253.980         2.2900           36292.330         2.2950           36330.190
         2.3000           36367.560         2.3050           36404.450         2.3100           36440.850
         2.3150           36476.790         2.3200           36512.260         2.3250           36547.270
         2.3300           36581.820         2.3350           36615.930         2.3400           36649.590
         2.3450           36682.820         2.3500           36715.620         2.3550           36747.980
         2.3600           36779.930         2.3650           36811.460         2.3700           36842.590
         2.3750           36873.300         2.3800           36903.610         2.3850           36933.540
         2.3900           36963.060         2.3950           36992.210         2.4000           37020.970
         2.4050           37049.360         2.4100           37077.370         2.4150           37105.020
         2.4200           37132.310         2.4250           37159.240         2.4300           37185.820
         2.4350           37212.050         2.4400           37237.940         2.4450           37263.490
         2.4500           37288.700         2.4550           37313.580         2.4600           37338.140
         2.4650           37362.380         2.4700           37386.290         2.4750           37409.890
         2.4800           37433.180         2.4850           37456.170         2.4900           37478.850
         2.4950           37501.240         2.5000           37523.330         2.5050           37545.130
         2.5100           37566.640         2.5150           37587.880         2.5200           37608.820
         2.5250           37629.500         2.5300           37649.900         2.5350           37670.040
         2.5400           37689.910         2.5450           37709.510         2.5500           37728.860
         2.5550           37747.950         2.5600           37766.790         2.5650           37785.380
         2.5700           37803.730         2.5750           37821.830         2.5800           37839.700
         2.5850           37857.330         2.5900           37874.720         2.5950           37891.890
         2.6000           37908.830         2.6050           37925.540         2.6100           37942.040
         2.6150           37958.310         2.6200           37974.370         2.6250           37990.220
         2.6300           38005.860         2.6350           38021.290         2.6400           38036.520
         2.6450           38051.540         2.6500           38066.360         2.6550           38080.990
         2.6600           38095.430         2.6650           38109.670         2.6700           38123.730
1
         2.6750           38137.600         2.6800           38151.280         2.6850           38164.790
         2.6900           38178.110         2.6950           38191.250         2.7000           38204.230
         2.7050           38217.030         2.7100           38229.660         2.7150           38242.120
         2.7200           38254.410         2.7250           38266.550         2.7300           38278.520
         2.7350           38290.340         2.7400           38301.990         2.7450           38313.490
         2.7500           38324.840         2.7550           38336.040         2.7600           38347.090
         2.7650           38357.990         2.7700           38368.740         2.7750           38379.360
         2.7800           38389.830         2.7850           38400.160         2.7900           38410.360
         2.7950           38420.410         2.8000           38430.340         2.8050           38440.130
         2.8100           38449.800         2.8150           38459.330         2.8200           38468.740
         2.8250           38478.020         2.8300           38487.180         2.8350           38496.210
         2.8400           38505.130         2.8450           38513.930         2.8500           38522.600
         2.8550           38531.170         2.8600           38539.620         2.8650           38547.950
         2.8700           38556.180         2.8750           38564.290         2.8800           38572.300
         2.8850           38580.200         2.8900           38588.000         2.8950           38595.690
         2.9000           38603.280         2.9050           38610.770         2.9100           38618.150
         2.9150           38625.440         2.9200           38632.630         2.9250           38639.730
         2.9300           38646.730         2.9350           38653.640         2.9400           38660.450
         2.9450           38667.170         2.9500           38673.810         2.9550           38680.350
         2.9600           38686.810         2.9650           38693.180         2.9700           38699.470
         2.9750           38705.670         2.9800           38711.790         2.9850           38717.830
         2.9900           38723.790         2.9950           38729.660         3.0000           38735.460
         3.0050           38741.180         3.0100           38746.830         3.0150           38752.400
         3.0200           38757.890         3.0250           38763.310         3.0300           38768.660
         3.0350           38773.940         3.0400           38779.150         3.0450           38784.290
         3.0500           38789.350         3.0550           38794.350         3.0600           38799.290
         3.0650           38804.150         3.0700           38808.960         3.0750           38813.700
         3.0800           38818.370         3.0850           38822.980         3.0900           38827.530
         3.0950           38832.020         3.1000           38836.450         3.1050           38840.820
         3.1100           38845.130         3.1150           38849.390         3.1200           38853.580
         3.1250           38857.720         3.1300           38861.810         3.1350           38865.840
         3.1400           38869.820         3.1450           38873.740         3.1500           38877.610
         3.1550           38881.430         3.1600           38885.200         3.1650           38888.910
         3.1700           38892.580         3.1750           38896.200         3.1800           38899.770
         3.1850           38903.290         3.1900           38906.770         3.1950           38910.200
         3.2000           38913.580         3.2050           38916.910         3.2100           38920.210
         3.2150           38923.450         3.2200           38926.660         3.2250           38929.820
         3.2300           38932.940         3.2350           38936.020         3.2400           38939.050
         3.2450           38942.050         3.2500           38945.000         3.2550           38947.920
         3.2600           38950.800         3.2650           38953.630         3.2700           38956.430
         3.2750           38959.200         3.2800           38961.920         3.2850           38964.610
         3.2900           38967.270         3.2950           38969.880         3.3000           38972.460
         3.3050           38975.010         3.3100           38977.520         3.3150           38980.000
         3.3200           38982.450         3.3250           38984.860         3.3300           38987.250
         3.3350           38989.590         3.3400           38991.910         3.3450           38994.200
1
         3.3500           38996.450         3.3550           38998.680         3.3600           39000.880
         3.3650           39003.040         3.3700           39005.180         3.3750           39007.290
         3.3800           39009.370         3.3850           39011.420         3.3900           39013.450
         3.3950           39015.450         3.4000           39017.410         3.4050           39019.360
         3.4100           39021.280         3.4150           39023.170         3.4200           39025.040
         3.4250           39026.880         3.4300           39028.700         3.4350           39030.490
         3.4400           39032.260         3.4450           39034.000         3.4500           39035.730
         3.4550           39037.430         3.4600           39039.100         3.4650           39040.750
         3.4700           39042.390         3.4750           39044.000         3.4800           39045.580
         3.4850           39047.150         3.4900           39048.700         3.4950           39050.220
         3.5000           39051.720
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  18.9108        18.9108       .0000               .0000         .0000       .0000       .9699       .9699
    0  18.5498        18.5504      -.0006           1850.1620     1847.7300      2.4319       .8825      1.0796
    1  17.8380        17.8387      -.0007           5419.1600     5417.3700      1.7900       .8300      1.1780
    2  17.1356        17.1366      -.0010           8822.6690     8821.4000      1.2686       .7987      1.2569
    3  16.4398        16.4411      -.0013          12062.7500    12061.7600       .9912       .7758      1.3293
    4  15.7452        15.7493      -.0041          15140.2500    15139.5300       .7227       .7578      1.3990
    5  15.0480        15.0581      -.0101          18055.8600    18054.8000      1.0566       .7431      1.4680
    6  14.3399        14.3645      -.0246          20809.0500    20806.5500      2.4961       .7306      1.5377
    7  13.6153        13.6655      -.0502          23398.1600    23392.4900      5.6660       .7200      1.6092
    8  12.8672        12.9581      -.0909          25820.2100    25808.9400     11.2734       .7106      1.6836
