


  RMIN =  .400  MAXV   = 10  BE =   14.6030
  RMAX = 3.500  KDMAXV = 10  RE =    1.1145
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .640 TO   3.195 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.8300           15786.170         2.8350           15789.470         2.8400           15792.710
         2.8450           15795.920         2.8500           15799.070         2.8550           15802.180
         2.8600           15805.250         2.8650           15808.260         2.8700           15811.240
         2.8750           15814.170         2.8800           15817.050         2.8850           15819.900
         2.8900           15822.700         2.8950           15825.460         2.9000           15828.180
         2.9050           15830.860         2.9100           15833.500         2.9150           15836.100
         2.9200           15838.670         2.9250           15841.190         2.9300           15843.680
         2.9350           15846.130         2.9400           15848.540         2.9450           15850.920
         2.9500           15853.260         2.9550           15855.570         2.9600           15857.850
         2.9650           15860.090         2.9700           15862.290         2.9750           15864.470
         2.9800           15866.610         2.9850           15868.720         2.9900           15870.800
         2.9950           15872.850         3.0000           15874.870         3.0050           15876.860
         3.0100           15878.820         3.0150           15880.750         3.0200           15882.660
         3.0250           15884.530         3.0300           15886.380         3.0350           15888.210
         3.0400           15890.000         3.0450           15891.770         3.0500           15893.510
         3.0550           15895.220         3.0600           15896.910         3.0650           15898.580
         3.0700           15900.210         3.0750           15901.830         3.0800           15903.420
         3.0850           15904.980         3.0900           15906.530         3.0950           15908.050
1
         3.1000           15909.540         3.1050           15911.020         3.1100           15912.470
         3.1150           15913.910         3.1200           15915.320         3.1250           15916.710
         3.1300           15918.080         3.1350           15919.430         3.1400           15920.760
         3.1450           15922.070         3.1500           15923.360         3.1550           15924.630
         3.1600           15925.890         3.1650           15927.120         3.1700           15928.340
         3.1750           15929.540         3.1800           15930.730         3.1850           15931.890
         3.1900           15933.040         3.1950           15934.180         3.2000           15935.330
         3.2050           15936.470         3.2100           15937.610         3.2150           15938.750
         3.2200           15939.880         3.2250           15941.020         3.2300           15942.160
         3.2350           15943.300         3.2400           15944.430         3.2450           15945.570
         3.2500           15946.700         3.2550           15947.840         3.2600           15948.970
         3.2650           15950.100         3.2700           15951.240         3.2750           15952.370
         3.2800           15953.500         3.2850           15954.630         3.2900           15955.760
         3.2950           15956.890         3.3000           15958.020         3.3050           15959.150
         3.3100           15960.280         3.3150           15961.400         3.3200           15962.530
         3.3250           15963.660         3.3300           15964.780         3.3350           15965.910
         3.3400           15967.030         3.3450           15968.160         3.3500           15969.280
         3.3550           15970.400         3.3600           15971.520         3.3650           15972.640
         3.3700           15973.760         3.3750           15974.880         3.3800           15976.000
         3.3850           15977.120         3.3900           15978.240         3.3950           15979.360
         3.4000           15980.480         3.4050           15981.590         3.4100           15982.710
         3.4150           15983.820         3.4200           15984.940         3.4250           15986.050
         3.4300           15987.170         3.4350           15988.280         3.4400           15989.390
         3.4450           15990.500         3.4500           15991.610         3.4550           15992.720
         3.4600           15993.830         3.4650           15994.940         3.4700           15996.050
         3.4750           15997.160         3.4800           15998.270         3.4850           15999.370
         3.4900           16000.480         3.4950           16001.590         3.5000           16002.690

1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  14.6030        14.6030       .0000               .0000         .0000       .0000      1.1145      1.1145
    0  14.2616        14.2438       .0178           1378.8370     1388.6100     -9.7733      1.0145      1.2449
    1  13.5578        13.5253       .0325           3961.9760     3976.8900    -14.9138       .9542      1.3695
    2  12.8585        12.8068       .0517           6292.9420     6313.2500    -20.3081       .9168      1.4770
    3  12.1637        12.0883       .0754           8372.1880     8397.6900    -25.5020       .8877      1.5835
    4  11.4716        11.3698       .1018          10200.4600    10230.2100    -29.7471       .8625      1.6951
    5  10.7781        10.6513       .1268          11778.7000    11810.8100    -32.1133       .8388      1.8173
    6  10.0677         9.9328       .1349          13107.9800    13139.4900    -31.5088       .8146      1.9565
    7   9.2834         9.2143       .0691          14189.8000    14216.2500    -26.4521       .7880      2.1228
    8   8.2564         8.4958      -.2394          15026.0000    15041.0900    -15.0908       .7559      2.3349
    9   6.6399         7.7773     -1.1374          15615.9300    15614.0100      1.9160       .7121      2.6379
   10   4.7453         7.0588     -2.3135          15966.4600    15935.0100     31.4463       .6373      3.1987
  NOISE FACTOR HAS MAXIMUM VALUE OF    .82E-06



  RMIN =  .750  MAXV   = 10  BE =   14.4570
  RMAX = 3.500  KDMAXV = 10  RE =    1.1201
  DELR =  .005  NEIG   =  0  DE =29361.0400
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .805 TO   2.125 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500           35237.480          .7550           33909.690          .7600           32620.220
          .7650           31368.190          .7700           30152.750          .7750           28973.050
          .7800           27828.280          .7850           26717.620          .7900           25640.290
          .7950           24595.510          .8000           23582.530          .8050           22607.630
          .8100           21652.390          .8150           20717.440          .8200           19806.780
          .8250           18921.290          .8300           18062.960          .8350           17231.960
          .8400           16428.340          .8450           15652.000          .8500           14902.520
          .8550           14179.330          .8600           13482.240          .8650           12810.440
          .8700           12163.400          .8750           11540.330          .8800           10940.710
          .8850           10363.830          .8900            9809.047          .8950            9275.729
          .9000            8763.322          .9050            8271.230          .9100            7798.735
          .9150            7345.373          .9200            6910.546          .9250            6493.766
          .9300            6094.424          .9350            5712.054          .9400            5346.182
          .9450            4996.316          .9500            4661.971          .9550            4342.750
          .9600            4038.160          .9650            3747.822          .9700            3471.280
          .9750            3208.197          .9800            2958.165          .9850            2720.793
          .9900            2495.743          .9950            2282.655         1.0000            2081.190
         1.0050            1891.020         1.0100            1711.825         1.0150            1543.293
         1.0200            1385.119         1.0250            1237.013         1.0300            1098.689
         1.0350             969.871         1.0400             850.289         1.0450             739.681
         1.0500             637.793         1.0550             544.378         1.0600             459.196
         1.0650             382.013         1.0700             312.606         1.0750             250.842
         1.0800             196.425         1.0850             149.080         1.0900             108.615
         1.0950              74.841         1.1000              47.574         1.1050              26.632
         1.1100              11.839         1.1150               3.019         1.1200                .002
         1.1250               2.622         1.1300              10.715         1.1350              24.120
         1.1400              42.681         1.1450              66.246         1.1500              94.664
         1.1550             127.790         1.1600             165.481         1.1650             207.599
         1.1700             254.008         1.1750             304.576         1.1800             359.175
         1.1850             417.679         1.1900             479.970         1.1950             545.926
         1.2000             615.435         1.2050             688.386         1.2100             764.671
         1.2150             844.187         1.2200             926.814         1.2250            1012.457
         1.2300            1101.018         1.2350            1192.400         1.2400            1286.507
         1.2450            1383.247         1.2500            1482.530         1.2550            1584.268
         1.2600            1688.375         1.2650            1794.768         1.2700            1903.366
